book_name,author_name,subgenres,summary,rating,release_date
Dune,Frank Herbert,Space Opera; Political SF,"On the desert planet Arrakis, control over the spice melange triggers a clash of prophecy, politics, and power.","Four and a half out of Five",1965
Neuromancer,William Gibson,Cyberpunk,"A washed-out hacker is drawn into a dangerous AI heist across cyberspace and corporate intrigue.","Four out of Five",1984
The Left Hand of Darkness,Ursula K. Le Guin,Social SF; Planetary SF,"An envoy to the icy world of Winter must navigate a culture without fixed gender amid political tension.","Four out of Five",1969
Foundation,Isaac Asimov,Social SF; Space Opera,"As a galactic empire declines, a Foundation is created to preserve knowledge and guide humanity's future.","Four and a half out of Five",1951
The Hobbit,J.R.R. Tolkien,High Fantasy; Adventure,"Bilbo Baggins sets out on a quest with dwarves and a wizard to reclaim treasure from a dragon.","Four and a half out of Five",1937
A Game of Thrones,George R. R. Martin,Epic Fantasy; Political Intrigue,"Noble houses vie for dominance while danger stirs beyond the Wall and alliances shift.","Four and a half out of Five",1996
Mistborn: The Final Empire,Brandon Sanderson,Epic Fantasy; Heist Fantasy,"In a world ruled by ash and tyranny, a street-thief learns she can wield magical metals to spark revolt.","Four and a half out of Five",2006
The Way of Kings,Brandon Sanderson,Epic Fantasy,"On the storm-battered world of Roshar, heroes, scholars, and soldiers uncover ancient oaths and powers.","Five out of Five",2010
The Fifth Season,N. K. Jemisin,Science Fantasy; Dystopian,"A cataclysmic world fractures, and one woman with earth-shaping power seeks her daughter amid collapse.","Four and a half out of Five",2015
Ender’s Game,Orson Scott Card,Military SF,"A child prodigy is thrust into war-game training to lead humanity’s defense against alien threats.","Four out of Five",1985
Hyperion,Dan Simmons,Space Opera,"Seven pilgrims journey to Hyperion, each bearing secrets and linked to a cosmic mystery and the Shrike.","Four and a half out of Five",1989
Leviathan Wakes,James S. A. Corey,Space Opera; Space Noir,"A missing person, a derelict ship, and political conspiracies spiral into war across the solar system.","Four and a half out of Five",2011
The Obelisk Gate,N. K. Jemisin,Science Fantasy; Dystopian,"Orogenes battle to survive and rebuild trust as the Earth continues to break beneath their feet.","Four and a half out of Five",2016
The Stone Sky,N. K. Jemisin,Science Fantasy; Dystopian,"The Broken Earth trilogy concludes as a mother and daughter face the ultimate decision about the fate of their world.","Five out of Five",2017
Children of Time,Adrian Tchaikovsky,Space Opera; Evolutionary SF,"Humanity’s remnants encounter a terraformed world where uplifted spiders have built a civilization.","Four and a half out of Five",2015
Children of Ruin,Adrian Tchaikovsky,Space Opera,"A sequel of first contact and survival, where evolved octopuses and humans struggle with alien threats.","Four out of Five",2019
The Forever War,Joe Haldeman,Military SF,"A soldier fights an interstellar war where relativity stretches time, making home ever more alien.","Four and a half out of Five",1974
Old Man’s War,John Scalzi,Military SF,"Senior citizens are given new genetically enhanced bodies to fight humanity’s wars among the stars.","Four out of Five",2005
Red Mars,Kim Stanley Robinson,Hard SF; Planetary SF,"The first colonists on Mars clash over how to terraform the planet and shape its destiny.","Four and a half out of Five",1992
Green Mars,Kim Stanley Robinson,Hard SF,"As Mars transforms, colonists debate politics, ecology, and independence from Earth.","Four out of Five",1993
Blue Mars,Kim Stanley Robinson,Hard SF,"The Mars trilogy concludes with political struggles, terraforming triumphs, and humanity’s expansion into space.","Four and a half out of Five",1996
Snow Crash,Neal Stephenson,Cyberpunk,"A samurai-sword-wielding hacker unravels a digital virus that threatens both virtual reality and the real world.","Four out of Five",1992
Cryptonomicon,Neal Stephenson,Techno-thriller; Historical SF,"Parallel stories of WWII codebreakers and modern cryptographers converge on secrets of data and power.","Four and a half out of Five",1999
The Three-Body Problem,Liu Cixin,Hard SF; First Contact,"A secret military project contacts an alien civilization, setting off consequences for humanity’s survival.","Four and a half out of Five",2008
The Dark Forest,Liu Cixin,Hard SF,"As invasion looms, humanity debates survival strategies against an overwhelming alien force.","Four and a half out of Five",2008
Death’s End,Liu Cixin,Hard SF; Space Opera,"The Remembrance of Earth’s Past trilogy concludes with cosmic battles, higher dimensions, and the fate of the universe.","Five out of Five",2010
Ringworld,Larry Niven,Hard SF; Space Opera,"Explorers journey across a massive artificial ring encircling a star, uncovering mysteries of its creators.","Four out of Five",1970
The Mote in God’s Eye,Larry Niven & Jerry Pournelle,First Contact; Space Opera,"Human explorers meet the enigmatic Moties, a species whose biology drives their society toward cycles of collapse.","Four and a half out of Five",1974
Altered Carbon,Richard K. Morgan,Cyberpunk; Noir,"In a future where consciousness can be transferred between bodies, a former soldier investigates a high-profile murder.","Four out of Five",2002
Revelation Space,Alastair Reynolds,Space Opera; Gothic SF,"Spanning centuries and light-years, humanity confronts alien artifacts, cosmic threats, and moral dilemmas.","Four and a half out of Five",2000
Chasm City,Alastair Reynolds,Space Opera; Noir,"A once-great city fallen to decay hides secrets of nanotech plagues, betrayal, and revenge.","Four out of Five",2001
Perdido Street Station,China Miéville,New Weird; Fantasy,"In the sprawling city of New Crobuzon, a scientist and a motley crew face a nightmare that threatens the entire city.","Four and a half out of Five",2000
The Scar,China Miéville,New Weird,"Sailing to uncharted seas, outcasts and adventurers discover strange creatures, lost technology, and sinister powers.","Four out of Five",2002
Iron Council,China Miéville,New Weird; Political Fantasy,"Revolution brews in New Crobuzon as a renegade train symbolizes freedom and rebellion against tyranny.","Four out of Five",2004
American Gods,Neil Gaiman,Urban Fantasy; Mythic Fantasy,"An ex-con is drawn into a conflict between fading old gods and ascendant new deities of modern life.","Four and a half out of Five",2001
Neverwhere,Neil Gaiman,Urban Fantasy,"A man falls through the cracks into London Below, a hidden city of strange people and darker dangers.","Four out of Five",1996
Good Omens,Neil Gaiman & Terry Pratchett,Comic Fantasy; Apocalyptic,"An angel and a demon join forces to prevent the apocalypse, but things do not go as planned.","Four and a half out of Five",1990
Small Gods,Terry Pratchett,Comic Fantasy,"A forgotten god manifests as a tortoise, sparking philosophical and theological chaos in Discworld.","Four out of Five",1992
The Colour of Magic,Terry Pratchett,Comic Fantasy; Satire,"The first Discworld novel introduces inept wizard Rincewind and tourist Twoflower in chaotic adventures.","Four out of Five",1983
Guards! Guards!,Terry Pratchett,Comic Fantasy; Satire,"The Night Watch of Ankh-Morpork confronts conspiracies, dragons, and destiny in a hilarious fantasy tale.","Four and a half out of Five",1989
The Lies of Locke Lamora,Scott Lynch,Fantasy; Heist Fantasy,"In the city of Camorr, master thief Locke Lamora spins schemes of deception, loyalty, and betrayal.","Four and a half out of Five",2006
Red Seas Under Red Skies,Scott Lynch,Fantasy; Adventure,"Locke Lamora and Jean Tannen take their cons to the high seas, where pirates and politics collide.","Four out of Five",2007
The Republic of Thieves,Scott Lynch,Fantasy; Political Intrigue,"Locke faces rivalries of love and politics in a deadly game of wits and deception.","Four out of Five",2013
The Blade Itself,Joe Abercrombie,Grimdark Fantasy,"A mercenary, a barbarian, and a crippled torturer cross paths in a brutal world of power and betrayal.","Four out of Five",2006
Before They Are Hanged,Joe Abercrombie,Grimdark Fantasy,"War spreads as unlikely companions face impossible choices in a grim and violent world.","Four and a half out of Five",2007
Last Argument of Kings,Joe Abercrombie,Grimdark Fantasy,"The First Law trilogy concludes with war, treachery, and bitter revelations in a merciless land.","Four and a half out of Five",2008
The Gunslinger,Stephen King,Dark Fantasy,"Roland of Gilead, the last gunslinger, pursues the Man in Black across a desolate world.","Four out of Five",1982
The Drawing of the Three,Stephen King,Dark Fantasy,"Roland gathers companions from different worlds to continue his quest toward the Dark Tower.","Four and a half out of Five",1987
The Waste Lands,Stephen King,Dark Fantasy,"Roland and his ka-tet confront new horrors as they journey deeper into Mid-World.","Four and a half out of Five",1991
Wizard and Glass,Stephen King,Dark Fantasy,"Roland recalls his tragic past as the ka-tet approaches the tower's secrets.","Four out of Five",1997
It,Stephen King,Horror; Supernatural Fantasy,"In the town of Derry, children face a shapeshifting monster that awakens every 27 years.","Four and a half out of Five",1986
The Stand,Stephen King,Apocalyptic Fantasy; Horror,"After a plague decimates humanity, survivors gather on opposite sides of a battle between good and evil.","Four and a half out of Five",1978
Dracula,Bram Stoker,Gothic Horror; Dark Fantasy,"Through letters and diaries, the tale unfolds of Count Dracula’s attempt to spread his curse and the group that seeks to stop him.","Four out of Five",1897
Frankenstein,Mary Shelley,Gothic Horror; Science Fiction,"A young scientist creates life, only to unleash a being who demands love and vengeance.","Four and a half out of Five",1818
Brave New World,Aldous Huxley,Dystopian; Social SF,"In a future society engineered for stability, individuality and freedom are sacrificed to control.","Four out of Five",1932
1984,George Orwell,Dystopian; Political SF,"Winston Smith struggles against a totalitarian regime that monitors thought itself.","Four and a half out of Five",1949
Fahrenheit 451,Ray Bradbury,Dystopian; Social SF,"In a future where books are burned, one fireman begins to question the system he enforces.","Four out of Five",1953
Something Wicked This Way Comes,Ray Bradbury,Dark Fantasy,"Two boys confront a sinister traveling carnival that feeds on fear and temptation.","Four out of Five",1962
The Martian,Andy Weir,Hard SF,"An astronaut stranded on Mars must use ingenuity and science to survive.","Four and a half out of Five",2011
Project Hail Mary,Andy Weir,Hard SF; First Contact,"A lone astronaut awakens far from Earth on a desperate mission to save humanity.","Five out of Five",2021
The Expanse: Caliban’s War,James S. A. Corey,Space Opera,"Political tensions rise as alien technology spreads across the solar system.","Four and a half out of Five",2012
Abaddon’s Gate,James S. A. Corey,Space Opera,"The discovery of the Ring Gate changes the balance of power, sparking new conflict.","Four out of Five",2013
Cibola Burn,James S. A. Corey,Space Opera,"Humanity colonizes new worlds, but alien dangers and political strife follow them through the gates.","Four out of Five",2014
Nemesis Games,James S. A. Corey,Space Opera,"The Rocinante’s crew faces personal challenges as Earth itself suffers catastrophic attacks.","Four and a half out of Five",2015
Persepolis Rising,James S. A. Corey,Space Opera,"Generations later, humanity faces an authoritarian regime with ancient alien tech at its core.","Four and a half out of Five",2017
Tiamat’s Wrath,James S. A. Corey,Space Opera,"As resistance grows, humanity faces one of its darkest battles against tyranny and alien forces.","Five out of Five",2019
Leviathan Falls,James S. A. Corey,Space Opera,"The Expanse saga concludes with humanity’s fate hanging in the balance of cosmic mysteries.","Four and a half out of Five",2021
Storm Front,Jim Butcher,Urban Fantasy,"Wizard-detective Harry Dresden investigates a case of dark magic in modern-day Chicago.","Four out of Five",2000
Fool Moon,Jim Butcher,Urban Fantasy,"Harry Dresden confronts werewolves and darker conspiracies under a full moon.","Four out of Five",2001
Grave Peril,Jim Butcher,Urban Fantasy,"Dresden faces restless spirits and supernatural war threatening Chicago.","Four out of Five",2001
Summer Knight,Jim Butcher,Urban Fantasy,"Drawn into Faerie politics, Dresden must solve a murder that could spark war.","Four and a half out of Five",2002
Blood Rites,Jim Butcher,Urban Fantasy,"Dresden finds himself battling vampires and dark rituals in Hollywood’s shadow.","Four out of Five",2004
Dead Beat,Jim Butcher,Urban Fantasy,"Necromancers and zombies push Dresden to his limits in a desperate fight.","Four and a half out of Five",2005
Proven Guilty,Jim Butcher,Urban Fantasy,"A supernatural horror convention in Chicago hides real monsters and faerie plots.","Four out of Five",2006
Changes,Jim Butcher,Urban Fantasy,"Dresden faces devastating personal loss while confronting his most dangerous enemies.","Four and a half out of Five",2010
Skin Game,Jim Butcher,Urban Fantasy; Heist Fantasy,"Forced into a dangerous job, Dresden works with criminals and old enemies to steal from the underworld.","Four and a half out of Five",2014
The Hunger Games,Suzanne Collins,Dystopian; YA Fantasy,"Katniss Everdeen volunteers to fight in a televised death match as rebellion stirs.","Four out of Five",2008
Catching Fire,Suzanne Collins,Dystopian; YA Fantasy,"Victors of the Games become targets of the regime as sparks of revolution ignite.","Four and a half out of Five",2009
Mockingjay,Suzanne Collins,Dystopian; YA Fantasy,"War consumes Panem as Katniss becomes the face of a rebellion.","Four and a half out of Five",2010
Divergent,Veronica Roth,Dystopian; YA Fantasy,"In a fractured society of factions, a young woman’s divergence makes her a threat and a hope.","Four out of Five",2011
Insurgent,Veronica Roth,Dystopian; YA Fantasy,"Faction wars escalate as secrets about society’s origins emerge.","Four out of Five",2012
Allegiant,Veronica Roth,Dystopian; YA Fantasy,"The trilogy concludes with revelations about the world beyond the factions.","Three and a half out of Five",2013
Annihilation,Jeff VanderMeer,Weird Fiction; Science Fantasy,"A team of scientists explores Area X, a mysterious zone where reality and biology warp.","Four out of Five",2014
Authority,Jeff VanderMeer,Weird Fiction,"The Southern Reach agency attempts to control Area X while paranoia grows.","Four out of Five",2014
Acceptance,Jeff VanderMeer,Weird Fiction,"The trilogy ends with shifting perspectives revealing the unsettling truth of Area X.","Four out of Five",2014
The City & The City,China Miéville,Weird Fiction; Crime Fantasy,"Two cities occupy the same space, and detectives must navigate borders of perception to solve a murder.","Four and a half out of Five",2009
Embassytown,China Miéville,First Contact; Linguistic SF,"On a distant world, humans struggle to communicate with an alien species whose language defies comprehension.","Four out of Five",2011
World War Z,Max Brooks,Apocalyptic Fantasy; Horror,"Through interviews, the story of humanity’s global battle against a zombie plague is revealed.","Four out of Five",2006
The Passage,Justin Cronin,Apocalyptic Fantasy,"A government experiment unleashes vampiric creatures, forcing survivors into a fight for survival.","Four out of Five",2010
The Twelve,Justin Cronin,Apocalyptic Fantasy,"The battle continues as scattered survivors face the original carriers of the plague.","Four out of Five",2012
The City of Mirrors,Justin Cronin,Apocalyptic Fantasy,"The trilogy concludes with humanity’s final confrontation against the viral apocalypse.","Four out of Five",2016
The Silmarillion,J.R.R. Tolkien,High Fantasy; Mythic Fantasy,"A collection of legends and histories from the First Age of Middle-earth, chronicling gods, elves, and the rise of evil.","Four out of Five",1977
Unfinished Tales,J.R.R. Tolkien,High Fantasy,"Stories expanding the lore of Middle-earth, from Númenor to the history of the Istari.","Three and a half out of Five",1980
The Once and Future King,T.H. White,Arthurian Fantasy,"A retelling of the legend of King Arthur, blending myth, magic, and human frailty.","Four out of Five",1958
The Eye of the World,Robert Jordan,Epic Fantasy,"Rand al’Thor and his friends flee their village and are drawn into a world-spanning struggle with the Dark One.","Four out of Five",1990
The Great Hunt,Robert Jordan,Epic Fantasy,"Rand and his companions pursue the Horn of Valere, while destiny tightens its grip.","Four and a half out of Five",1990
The Dragon Reborn,Robert Jordan,Epic Fantasy,"Prophecy takes shape as Rand embraces his fate as the Dragon Reborn.","Four and a half out of Five",1991
The Shadow Rising,Robert Jordan,Epic Fantasy,"The battle spreads across nations as hidden truths about the Aiel and the Forsaken emerge.","Four and a half out of Five",1992
The Fires of Heaven,Robert Jordan,Epic Fantasy,"The Wheel turns as kingdoms fall and the Last Battle draws nearer.","Four out of Five",1993
Lord of Chaos,Robert Jordan,Epic Fantasy,"Rand struggles to unite the nations while enemies both mortal and magical plot against him.","Four out of Five",1994
A Crown of Swords,Robert Jordan,Epic Fantasy,"The struggle intensifies with betrayals, political intrigue, and growing shadows of war.","Three and a half out of Five",1996
The Path of Daggers,Robert Jordan,Epic Fantasy,"Armies clash as prophecy and destiny move the heroes toward Tarmon Gai’don.","Three and a half out of Five",1998
Winter’s Heart,Robert Jordan,Epic Fantasy,"A turning point arrives with epic magic unleashed against the Dark One’s influence.","Four out of Five",2000
Crossroads of Twilight,Robert Jordan,Epic Fantasy,"The struggle drags on as threads of prophecy weave slowly toward their climax.","Three out of Five",2003
Knife of Dreams,Robert Jordan,Epic Fantasy,"Wars erupt, dark plots deepen, and the Last Battle looms closer.","Four out of Five",2005
The Gathering Storm,Robert Jordan & Brandon Sanderson,Epic Fantasy,"Rand and Egwene face their darkest trials as the fate of the world hangs in balance.","Four and a half out of Five",2009
Towers of Midnight,Robert Jordan & Brandon Sanderson,Epic Fantasy,"The Pattern tightens as the heroes prepare for the ultimate conflict.","Four out of Five",2010
A Memory of Light,Robert Jordan & Brandon Sanderson,Epic Fantasy,"The Wheel of Time concludes in the apocalyptic Last Battle between Light and Shadow.","Five out of Five",2013
Elantris,Brandon Sanderson,Fantasy; Political Fantasy,"A fallen city of demigods hides secrets as its cursed inhabitants search for redemption.","Four out of Five",2005
Warbreaker,Brandon Sanderson,Fantasy; Political Fantasy,"Two princesses are drawn into a world of color-based magic, gods, and intrigue.","Four out of Five",2009
Starsight,Brandon Sanderson,YA Sci-Fi,"Spensa Nightshade pushes deeper into alien space to uncover secrets about humanity’s enemies.","Four out of Five",2019
Cytonic,Brandon Sanderson,YA Sci-Fi,"Spensa’s journey continues through the nowhere, facing cosmic dangers and truths about her powers.","Four out of Five",2021
To Sleep in a Sea of Stars,Christopher Paolini,Space Opera,"A xenobiologist discovers alien technology that could save or doom humanity.","Four out of Five",2020
Eragon,Christopher Paolini,YA Fantasy; Epic Fantasy,"A farm boy discovers a dragon egg that launches him into a battle against an evil empire.","Four out of Five",2002
Eldest,Christopher Paolini,YA Fantasy,"Eragon deepens his training as rebellion grows against Galbatorix.","Four out of Five",2005
Brisingr,Christopher Paolini,YA Fantasy,"Betrayals and alliances shift as Eragon faces hard choices in the war.","Three and a half out of Five",2008
Inheritance,Christopher Paolini,YA Fantasy,"The saga concludes with Eragon’s final confrontation against the dark empire.","Four out of Five",2011
The Sword of Shannara,Terry Brooks,Epic Fantasy,"A young hero and his companions seek a legendary sword to defeat an evil warlock lord.","Three and a half out of Five",1977
The Elfstones of Shannara,Terry Brooks,Epic Fantasy,"The last of the Elves must defend the Ellcrys tree against demonic forces.","Four out of Five",1982
The Wishsong of Shannara,Terry Brooks,Epic Fantasy,"Siblings inherit magical gifts that could save or doom their world.","Three and a half out of Five",1985
Shadows of Self,Brandon Sanderson,Fantasy; Steampunk,"In the Mistborn world, lawman Waxillium Ladrian investigates a conspiracy threatening society.","Four out of Five",2015
Bands of Mourning,Brandon Sanderson,Fantasy; Steampunk,"Wax and Wayne uncover mysteries about ancient powers and metallic artifacts.","Four out of Five",2016
The Alloy of Law,Brandon Sanderson,Fantasy; Steampunk,"Set centuries after Mistborn, guns and magic collide in a tale of law and rebellion.","Four out of Five",2011
The Moon is a Harsh Mistress,Robert A. Heinlein,Hard SF; Political SF,"A lunar colony fights for independence against Earth, blending politics, technology, and revolution.","Four and a half out of Five",1966
Starship Troopers,Robert A. Heinlein,Military SF,"Citizenship is tied to service as soldiers battle alien Arachnids in interstellar war.","Four out of Five",1959
Stranger in a Strange Land,Robert A. Heinlein,Social SF,"A human raised by Martians comes to Earth, challenging religion, culture, and morality.","Four out of Five",1961
The Time Machine,H.G. Wells,Proto-SF; Time Travel,"A Victorian scientist invents a machine to travel through time, discovering distant futures.","Four out of Five",1895
The War of the Worlds,H.G. Wells,First Contact; Proto-SF,"Martians invade Earth with terrifying technology, forcing humanity into survival.","Four and a half out of Five",1898
The Invisible Man,H.G. Wells,Proto-SF; Gothic Horror,"A scientist turns himself invisible but spirals into madness and violence.","Four out of Five",1897
The Island of Doctor Moreau,H.G. Wells,Proto-SF; Gothic Horror,"A castaway encounters a scientist who creates human-animal hybrids with dark consequences.","Four out of Five",1896
Solaris,Stanisław Lem,Philosophical SF,"Scientists on a space station orbiting Solaris confront an ocean that manifests their deepest fears and memories.","Four out of Five",1961
The Cyberiad,Stanisław Lem,Comic SF; Philosophical SF,"Tales of two constructor robots blend humor, philosophy, and absurd invention.","Four out of Five",1965
Roadside Picnic,Arkady & Boris Strugatsky,Weird SF; First Contact,"Stalkers explore alien Zones littered with dangerous and miraculous artifacts.","Four and a half out of Five",1972
Hard to Be a God,Arkady & Boris Strugatsky,Social SF; Political SF,"An observer from Earth struggles with non-intervention on a planet stuck in feudal brutality.","Four out of Five",1964
The Power,Naomi Alderman,Speculative SF,"Women across the world develop the ability to emit electrical power, reshaping gender and society.","Four out of Five",2016
The Handmaid’s Tale,Margaret Atwood,Dystopian; Speculative SF,"In a theocratic state, women are stripped of rights and forced into roles as handmaids.","Four and a half out of Five",1985
Oryx and Crake,Margaret Atwood,Speculative SF; Biopunk,"In a devastated future, one man recalls genetic experiments that led to humanity’s downfall.","Four out of Five",2003
The Year of the Flood,Margaret Atwood,Speculative SF,"Parallel to Oryx and Crake, survivors navigate cults and biotech collapse.","Four out of Five",2009
MaddAddam,Margaret Atwood,Speculative SF,"The trilogy concludes with clashes between survivors, bioengineered beings, and remnants of civilization.","Four out of Five",2013
The Space Between Worlds,Micaiah Johnson,Multiverse SF,"A woman who travels between parallel Earths faces betrayal when her survival depends on the deaths of her counterparts.","Four out of Five",2020
This Is How You Lose the Time War,Amal El-Mohtar & Max Gladstone,Time Travel; Speculative SF,"Two rival agents fall in love across the timelines they are sworn to destroy.","Five out of Five",2019
Gideon the Ninth,Tamsyn Muir,Science Fantasy; Gothic,"A snarky swordswoman joins necromancers in a deadly trial in a haunted palace.","Four and a half out of Five",2019
Harrow the Ninth,Tamsyn Muir,Science Fantasy; Gothic,"Harrow grapples with madness, necromancy, and secrets of the Emperor.","Four out of Five",2020
Nona the Ninth,Tamsyn Muir,Science Fantasy,"A strange girl awakens with no past, caught in cosmic schemes of life and death.","Four out of Five",2022
A Desolation Called Peace,Arkady Martine,Space Opera,"An ambassador negotiates fragile peace with a mysterious alien empire.","Four and a half out of Five",2021
A Memory Called Empire,Arkady Martine,Space Opera,"A young diplomat enters the heart of a powerful empire and uncovers conspiracies of assimilation and survival.","Four and a half out of Five",2019
Parable of the Sower,Octavia E. Butler,Dystopian; Afrofuturism,"A girl with hyper-empathy founds a new belief system as society collapses.","Four and a half out of Five",1993
Parable of the Talents,Octavia E. Butler,Dystopian,"The sequel traces the growth of Earthseed amid fundamentalist violence.","Four out of Five",1998
Kindred,Octavia E. Butler,Time Travel; Historical Fantasy,"A modern Black woman is pulled back in time to the antebellum South, confronting slavery and survival.","Four and a half out of Five",1979
Dawn,Octavia E. Butler,First Contact,"A woman awakens among alien rescuers who plan to reshape humanity through genetic merging.","Four out of Five",1987
Adulthood Rites,Octavia E. Butler,First Contact,"The next generation grapples with identity in a hybrid human-alien society.","Four out of Five",1988
Imago,Octavia E. Butler,First Contact,"A hybrid offspring challenges both species’ understanding of love and power.","Four out of Five",1989
Bloodchild and Other Stories,Octavia E. Butler,Speculative SF,"Stories of alien symbiosis, survival, and human vulnerability.","Four out of Five",1995
The Dispossessed,Ursula K. Le Guin,Social SF; Political SF,"A physicist from an anarchist moon visits a capitalist planet, questioning freedom and society.","Four and a half out of Five",1974
A Wizard of Earthsea,Ursula K. Le Guin,High Fantasy; Coming of Age,"A young mage named Ged must learn the balance of power and face his own shadow.","Four and a half out of Five",1968
The Tombs of Atuan,Ursula K. Le Guin,High Fantasy,"A priestess of the Nameless Ones discovers friendship and freedom through Ged.","Four out of Five",1971
The Farthest Shore,Ursula K. Le Guin,High Fantasy,"Ged and a prince face a spreading loss of magic threatening the archipelago.","Four out of Five",1972
Tehanu,Ursula K. Le Guin,High Fantasy,"Tenar and Ged confront mortality, trauma, and change in a quieter tale of Earthsea.","Four out of Five",1990
Tales from Earthsea,Ursula K. Le Guin,High Fantasy,"Stories expand the lore and history of the Earthsea archipelago.","Three and a half out of Five",2001
The Other Wind,Ursula K. Le Guin,High Fantasy,"Dragons, death, and change challenge the old balance of Earthsea.","Four out of Five",2001
The Golden Compass,Philip Pullman,YA Fantasy; Steampunk,"Lyra Belacqua sets out to uncover a cosmic conspiracy involving Dust and parallel worlds.","Four and a half out of Five",1995
The Subtle Knife,Philip Pullman,YA Fantasy,"Lyra and Will discover a knife that can cut between universes.","Four out of Five",1997
The Amber Spyglass,Philip Pullman,YA Fantasy,"The trilogy concludes with battles across worlds and a journey to the land of the dead.","Four and a half out of Five",2000
La Belle Sauvage,Philip Pullman,YA Fantasy,"In a flood-stricken England, a boy and girl protect infant Lyra from powerful enemies.","Four out of Five",2017
The Secret Commonwealth,Philip Pullman,YA Fantasy,"Adult Lyra navigates intrigue and mystery in a divided world.","Four out of Five",2019
Jonathan Strange & Mr Norrell,Susanna Clarke,Historical Fantasy,"In 19th-century England, two magicians revive English magic amid war and rivalry.","Four and a half out of Five",2004
Piranesi,Susanna Clarke,Fantasy; Speculative,"A man lives in an infinite House of halls, statues, and tides, slowly uncovering truths of his captivity.","Four out of Five",2020
Mort,Terry Pratchett,Comic Fantasy,"Death takes on an apprentice who struggles with the job’s inevitabilities.","Four out of Five",1987
Hogfather,Terry Pratchett,Comic Fantasy,"Assassins target the Hogfather (Discworld’s Santa), forcing Death’s granddaughter to save belief itself.","Four out of Five",1996
Night Watch,Terry Pratchett,Comic Fantasy; Time Travel,"Sam Vimes is thrown back in time to a revolution, forced to guide his younger self.","Four and a half out of Five",2002
Going Postal,Terry Pratchett,Comic Fantasy,"A con artist is forced to revive the Ankh-Morpork postal service with help from golems and chaos.","Four out of Five",2004
Thud!,Terry Pratchett,Comic Fantasy,"Dwarves and trolls approach war, and the Watch must keep the peace.","Four out of Five",2005
The Lion the Witch and the Wardrobe,C.S. Lewis,YA Fantasy; Allegory,"Children stumble into Narnia, where they aid Aslan against the White Witch.","Four and a half out of Five",1950
Prince Caspian,C.S. Lewis,YA Fantasy,"The Pevensies return to Narnia to help the rightful heir reclaim his throne.","Four out of Five",1951
The Voyage of the Dawn Treader,C.S. Lewis,YA Fantasy,"A sea journey brings new lands, dangers, and revelations in Narnia.","Four out of Five",1952
The Silver Chair,C.S. Lewis,YA Fantasy,"New heroes quest to rescue a prince from an underground kingdom.","Four out of Five",1953
The Horse and His Boy,C.S. Lewis,YA Fantasy,"A runaway boy and a talking horse cross deserts and kingdoms to reach freedom in Narnia.","Four out of Five",1954
The Magician’s Nephew,C.S. Lewis,YA Fantasy,"The origins of Narnia unfold with magic rings and a new world’s creation.","Four out of Five",1955
The Last Battle,C.S. Lewis,YA Fantasy; Apocalyptic,"The final conflict in Narnia decides the fate of the magical realm.","Four out of Five",1956
Watership Down,Richard Adams,Fantasy; Allegory,"Rabbits seek a new home, confronting predators, politics, and myth along the way.","Four out of Five",1972
The Black Company,Glen Cook,Grimdark Fantasy,"Mercenaries serve a dark sorceress, recording the brutal realities of war and loyalty.","Four out of Five",1984
Shadows Linger,Glen Cook,Grimdark Fantasy,"The Company faces deadly enemies as alliances shift in war-torn lands.","Four out of Five",1984
The White Rose,Glen Cook,Grimdark Fantasy,"The Company finds hope and rebellion in a world dominated by tyrants and sorcery.","Four out of Five",1985
Gardens of the Moon,Steven Erikson,Epic Fantasy,"A sprawling saga begins with war, intrigue, and ancient sorcery.","Four out of Five",1999
Deadhouse Gates,Steven Erikson,Epic Fantasy,"A brutal march of refugees across a desert reveals both cruelty and resilience.","Four and a half out of Five",2000
Memories of Ice,Steven Erikson,Epic Fantasy,"Alliances of mortals and gods battle against a rising tide of chaos.","Four and a half out of Five",2001
House of Chains,Steven Erikson,Epic Fantasy,"New characters and shifting loyalties deepen the Malazan conflict.","Four out of Five",2002
Midnight Tides,Steven Erikson,Epic Fantasy,"A tale of betrayal and empire expansion adds layers to the Malazan world.","Four out of Five",2004
The Bonehunters,Steven Erikson,Epic Fantasy,"Armies clash while hidden powers pull strings behind empires.","Four and a half out of Five",2006
Reaper’s Gale,Steven Erikson,Epic Fantasy,"The Malazan saga grows darker as betrayals and godly powers escalate.","Four out of Five",2007
Toll the Hounds,Steven Erikson,Epic Fantasy,"Death and fate converge in Darujhistan in a tragic symphony.","Four out of Five",2008
Dust of Dreams,Steven Erikson,Epic Fantasy,"The armies march toward the final convergence of prophecy and apocalypse.","Four out of Five",2009
The Crippled God,Steven Erikson,Epic Fantasy,"The Malazan saga concludes in fire, gods, and sacrifice on a cosmic scale.","Five out of Five",2011